*,"Data were collected for the time period beginning January 2018, but exclude several months during the onset of the COVID-19 pandemic (i.e., March 2020-August 2020). In some cases, the funded state did not provide CDC enough months of data to calculate percent change. Rates are suppressed when based on <20 overdoses, thus no percent change is available; for more information, please see: Healthy People 2010 Criteria for Data Suppression",,,,,,,,,,,,,,,,,,,,,,
§,The state does not share data from syndromic surveillance systems with DOSE.,,,,,,,,,,,,,,,,,,,,,,
¶,State does not participate in OD2A DOSE ED data sharing.,,,,,,,,,,,,,,,,,,,,,,
**,"Certain comparisons include data from two syndromic surveillance systems; some differences between the systems exist, such as the percent of missing discharge diagnosis codes.",,,,,,,,,,,,,,,,,,,,,,
state,geo,stateSymbol,dataSymbol,startYear,startMonth,endYear,endMonth,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,sex,ageRange,state_count,comparisonType
US,US-US,,,2018,1,2018,2,3.08,5.39,5.16,12.92,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,35,1Month2MonthUS
US,US-US,,,2018,2,2018,3,8.67,10.64,9.76,17.13,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,35,1Month2MonthUS
US,US-US,,,2018,3,2018,4,0.6,-0.48,-3.23,-3.56,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,all,all,36,1Month2MonthUS
US,US-US,,,2018,4,2018,5,2.95,5.96,9.53,2.51,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,all,all,36,1Month2MonthUS
US,US-US,,,2018,5,2018,6,3.02,7.18,5.62,4.62,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,all,all,36,1Month2MonthUS
US,US-US,,,2018,6,2018,7,0.32,-2.42,-2.87,-1.77,FALSE,TRUE,FALSE,FALSE,No Significant Change,Significant Decrease,No Significant Change,No Significant Change,all,all,36,1Month2MonthUS
US,US-US,,,2018,7,2018,8,2.63,4.2,5.95,6.33,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,all,all,36,1Month2MonthUS
US,US-US,,,2018,8,2018,9,-3.71,-6.79,-7.69,-5.66,TRUE,TRUE,TRUE,FALSE,Significant Decrease,Significant Decrease,Significant Decrease,No Significant Change,all,all,36,1Month2MonthUS
US,US-US,,,2018,9,2018,10,-2.48,-1.39,-5.75,-9.93,TRUE,FALSE,TRUE,TRUE,Significant Decrease,No Significant Change,Significant Decrease,Significant Decrease,all,all,36,1Month2MonthUS
US,US-US,,,2018,10,2018,11,-1.52,-3.63,-7.39,3.6,TRUE,TRUE,TRUE,FALSE,Significant Decrease,Significant Decrease,Significant Decrease,No Significant Change,all,all,35,1Month2MonthUS
US,US-US,,,2018,11,2018,12,-8.46,-6.79,-6.78,-5.24,TRUE,TRUE,TRUE,FALSE,Significant Decrease,Significant Decrease,Significant Decrease,No Significant Change,all,all,36,1Month2MonthUS
US,US-US,,,2018,12,2019,1,-1.33,-5.21,-7.95,0.4,FALSE,TRUE,TRUE,FALSE,No Significant Change,Significant Decrease,Significant Decrease,No Significant Change,all,all,36,1Month2MonthUS
US,US-US,,,2019,1,2019,2,4.36,7.76,7.09,8.7,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,36,1Month2MonthUS
US,US-US,,,2019,2,2019,3,0.62,2.84,4.21,2.1,FALSE,TRUE,TRUE,FALSE,No Significant Change,Significant Increase,Significant Increase,No Significant Change,all,all,37,1Month2MonthUS
US,US-US,,,2019,3,2019,4,5.07,5.12,5.19,7.53,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,37,1Month2MonthUS
US,US-US,,,2019,4,2019,5,4.63,5.84,8.5,1.82,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,all,all,38,1Month2MonthUS
US,US-US,,,2019,5,2019,6,3.89,6.56,6.61,9.53,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,39,1Month2MonthUS
US,US-US,,,2019,6,2019,7,-0.35,0.61,-1.27,-4.81,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,all,all,39,1Month2MonthUS
US,US-US,,,2019,7,2019,8,3.31,5.03,4.8,6.88,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,40,1Month2MonthUS
US,US-US,,,2019,8,2019,9,-5.03,-7.93,-10.3,-7.57,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,40,1Month2MonthUS
US,US-US,,,2019,9,2019,10,-0.17,0.16,-3.27,-3.95,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,all,all,41,1Month2MonthUS
US,US-US,,,2019,10,2019,11,-1.3,-1.77,-3.31,-6.63,TRUE,FALSE,FALSE,TRUE,Significant Decrease,No Significant Change,No Significant Change,Significant Decrease,all,all,41,1Month2MonthUS
US,US-US,,,2019,11,2019,12,-7.07,-4.46,-6.85,-0.26,TRUE,TRUE,TRUE,FALSE,Significant Decrease,Significant Decrease,Significant Decrease,No Significant Change,all,all,41,1Month2MonthUS
US,US-US,,,2019,12,2020,1,1.91,0.63,2.03,-0.15,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,No Significant Change,No Significant Change,all,all,41,1Month2MonthUS
US,US-US,,,2020,1,2020,2,6.64,9.78,11.06,12.19,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,41,1Month2MonthUS
US,US-US,,*,2020,2,2020,3,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,41,1Month2MonthUS
US,US-US,,*,2020,3,2020,4,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,41,1Month2MonthUS
US,US-US,,*,2020,4,2020,5,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,41,1Month2MonthUS
US,US-US,,*,2020,5,2020,6,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,41,1Month2MonthUS
US,US-US,,*,2020,6,2020,7,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,41,1Month2MonthUS
US,US-US,,*,2020,7,2020,8,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,41,1Month2MonthUS
US,US-US,,,2020,8,2020,9,-1.82,-4.34,-6.34,-4.93,TRUE,TRUE,TRUE,FALSE,Significant Decrease,Significant Decrease,Significant Decrease,No Significant Change,all,all,41,1Month2MonthUS
